"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.09,10,239,1.55,0.58,58.18,86.63,62.29,0,0.2,"NA","NA","clear-day","Clear throughout the day.",1018.53,322.9,2016-06-09
"2",0.13,9.47,276,2.58,0.54,51.05,83.85,56.07,0,0.16,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1016.49,322.36,2016-06-08
"3",0.12,9.3,296,4.72,0.58,54.63,80.77,61.49,0,0.13,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1010.47,327.51,2016-06-07
"4",0.4,9.97,272,3.91,0.72,66.77,87.66,70.56,0.0136,0.1,"NA","NA","rain","Light rain in the morning.",1004.18,311.79,2016-06-06
"5",0.69,9.61,208,5.29,0.86,70.86,81.74,70.73,0.0179,0.06,"NA","NA","rain","Light rain in the morning and afternoon.",1009.69,293.77,2016-06-05
"6",0.74,8.03,204,7.13,0.81,71.72,87.78,71.32,0.0148,0.03,"NA","NA","rain","Light rain starting in the afternoon.",1010.36,294.37,2016-06-04
"7",0.56,8.82,185,1.48,0.78,71.76,91.75,70.14,0.0186,0.98,"NA","NA","rain","Rain throughout the day.",1014.11,302.23,2016-06-03
"8",0.57,8.17,251,1.38,0.74,69.8,90.26,70.11,0.0169,0.95,"NA","NA","rain","Rain starting in the afternoon.",1015.92,310.49,2016-06-02
"9",0.32,7.55,43,1.06,0.81,69.1,86.49,69.07,0.0061,0.91,"NA","NA","rain","Light rain starting in the evening.",1017.08,328.5,2016-06-01
"10",0.35,8.46,37,4.02,0.82,68.3,84.02,67.21,0.002,0.87,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1015.87,336.27,2016-05-31
"11",0.44,8.54,40,4.01,0.82,69.29,83.32,68.77,0.0036,0.83,"NA","NA","rain","Light rain in the morning and evening.",1013.88,329.89,2016-05-30
"12",0.71,8.75,38,3.61,0.89,68.95,81.48,66.04,0.0178,0.8,"NA","NA","rain","Rain throughout the day.",1014.89,316.73,2016-05-29
"13",0.67,9.29,29,3.89,0.88,68.28,78.3,67.97,0.0177,0.76,"NA","NA","rain","Rain throughout the day.",1018.37,313.02,2016-05-28
"14",0.18,9.99,115,2.32,0.67,61.19,85.5,59.17,1e-04,0.72,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1020.74,323.31,2016-05-27
"15",0.09,9.64,174,4.83,0.66,63.45,86.4,66.69,0,0.69,"NA","NA","clear-day","Clear throughout the day.",1019.51,325.78,2016-05-26
"16",0.14,9.7,209,4.35,0.67,62.35,86.33,62.99,0.0018,0.65,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1020.19,NA,2016-05-25
"17",0.16,10,231,3.7,0.63,57.5,86.35,58.76,0,0.62,"NA","NA","clear-day","Clear throughout the day.",1021.59,NA,2016-05-24
"18",0.11,10,258,3.48,0.67,53.04,82.03,51.37,0,0.59,"NA","NA","clear-day","Clear throughout the day.",1018.56,NA,2016-05-23
"19",0.23,9.65,334,4.28,0.84,52.71,67.42,51.32,0.0023,0.56,"NA","NA","rain","Drizzle in the afternoon.",1014.35,NA,2016-05-22
"20",0.37,9.83,13,4.32,0.83,56.61,67.77,55.24,0.0045,0.53,"NA","NA","rain","Light rain overnight.",1011.09,NA,2016-05-21
"21",0.38,8.5,14,1.33,0.84,61.71,75.98,62.14,0.0149,0.48,"NA","NA","rain","Rain in the morning and evening.",1013.41,NA,2016-05-20
"22",0.58,9.78,75,4.88,0.75,54.33,70.9,56.15,2e-04,0.46,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1022.02,NA,2016-05-19
"23",0.66,8.94,42,4.24,0.89,56.4,61.34,56.96,0.0027,0.43,"NA","NA","rain","Light rain until afternoon.",1019.9,NA,2016-05-18
"24",NA,8.81,30,5.69,0.91,58.1,63.65,58.34,0.0035,0.4,"NA","NA","rain","Light rain in the morning.",1017.49,NA,2016-05-17
"25",0.41,9.06,149,1.88,0.85,58.98,68.85,56.95,0.0103,0.37,"NA","NA","rain","Rain until evening, starting again overnight.",1021.29,NA,2016-05-16
"26",0.08,9.98,254,1.2,0.61,42.57,71.66,42.15,0,0.34,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1023.2,NA,2016-05-15
"27",0.1,10,306,4.5,0.51,37.63,66.69,47.76,1e-04,0.31,"NA","NA","clear-day","Clear throughout the day.",1016.56,NA,2016-05-14
"28",0.13,9.77,255,5.21,0.66,54.12,82.15,53.46,0,0.28,"NA","NA","clear-day","Clear throughout the day.",1010.35,NA,2016-05-13
"29",0.23,9.34,256,3.47,0.83,63.3,77.35,61.14,0.0019,0.25,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1013.16,NA,2016-05-12
"30",0.25,6.85,50,2.77,0.87,65.52,79.09,65.24,0.0066,0.21,"NA","NA","rain","Light rain starting in the evening.",1018.17,NA,2016-05-11
"31",0.24,8.52,225,4.28,0.8,64.85,81.37,62.96,0,0.18,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1019.66,NA,2016-05-10
"32",0.13,9.86,171,3.28,0.73,62.97,81.32,65.13,1e-04,0.15,"NA","NA","clear-day","Clear throughout the day.",1019.96,NA,2016-05-09
"33",0.13,9.43,320,0.55,0.74,60.75,80.17,58.68,0.0024,0.11,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1017.53,NA,2016-05-08
"34",0.19,10,274,4.76,0.57,55.04,82.74,61.78,1e-04,0.07,"NA","NA","rain","Light rain overnight.",1010.39,NA,2016-05-07
"35",0.19,9.62,261,3.81,0.66,49.23,73.77,50.47,4e-04,0.04,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1008.7,NA,2016-05-06
