"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.31,9.28,135,3.02,0.74,71.74,90.72,72.42,0.006,0.2,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1016.85,285.14,2016-06-08
"2",0.55,9.39,52,1.33,0.61,65.68,94.07,70.68,2e-04,0.16,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1014.06,289.06,2016-06-07
"3",0.25,9.59,348,2.48,0.68,68.26,94.01,71.03,0,0.13,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1010.69,290.88,2016-06-06
"4",0.4,9.53,323,2.98,0.79,71.52,90.44,71.2,0.0031,0.1,"NA","NA","partly-cloudy-day","Mostly cloudy until afternoon.",1007.43,289.05,2016-06-05
"5",0.82,8.8,92,3.01,0.94,73.94,77.83,73.89,0.1267,0.06,"NA","NA","rain","Heavy rain throughout the day.",1008.5,277.3,2016-06-04
"6",0.83,7.01,144,2.63,0.82,73.06,84.48,73.35,0.0102,0.03,"NA","NA","rain","Rain until afternoon.",1012.4,283.85,2016-06-03
"7",0.41,9.69,176,3.45,0.7,70.99,92.86,72.83,0.0021,0.98,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1014.74,291.57,2016-06-02
"8",0.12,8.77,171,3.3,0.64,68.1,95.58,70.2,7e-04,0.95,"NA","NA","clear-day","Clear throughout the day.",1016.38,304.54,2016-06-01
"9",0.45,8.94,192,2.61,0.66,67.41,93.32,69.06,0.001,0.91,"NA","NA","rain","Drizzle in the evening.",1016.63,311.7,2016-05-31
"10",0.14,8.11,212,3.11,0.72,68.99,93.69,69.41,0.0016,0.87,"NA","NA","rain","Drizzle in the evening.",1015.01,325.39,2016-05-30
"11",0.17,9.41,228,2.64,0.7,68.37,92,70.53,0.0027,0.83,"NA","NA","rain","Light rain in the afternoon.",1013.03,328.81,2016-05-29
"12",0.18,9.98,278,2.76,0.66,67.48,92.23,70.92,0.001,0.8,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1014.78,320.58,2016-05-28
"13",0.07,9.95,357,2.13,0.65,66.34,91.52,70.16,5e-04,0.76,"NA","NA","clear-day","Clear throughout the day.",1017.3,321.34,2016-05-27
"14",0.13,9.92,77,2.13,0.67,66.15,89.58,67.76,0.0018,0.72,"NA","NA","rain","Light rain in the evening.",1016.85,311.52,2016-05-26
"15",0.1,9.67,106,4.27,0.61,61.79,87.93,65.63,0,0.69,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1016.93,312.36,2016-05-25
"16",0.3,9.97,132,3.55,0.63,63.07,88.46,68.54,5e-04,0.65,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1019.86,307.83,2016-05-24
"17",0.12,9.99,151,5.28,0.61,62.17,88.18,66.85,0,0.62,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1021.24,NA,2016-05-23
"18",0.2,10,326,0.76,0.57,56.43,88.39,60.71,0,0.59,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1018.3,NA,2016-05-22
"19",0.12,9.97,320,1.89,0.55,53.3,85.84,58.21,0,0.56,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1014.23,NA,2016-05-21
"20",0.13,9.85,316,7.09,0.62,59.4,83.53,65.33,0,0.53,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1013.44,NA,2016-05-20
"21",0.28,8.66,279,4.8,0.78,67.15,86.96,65.42,0.012,0.48,"NA","NA","rain","Rain in the evening.",1015.72,NA,2016-05-19
"22",0.32,7.65,185,0.59,0.92,68.82,75.43,68.58,0.0211,0.46,"NA","NA","rain","Rain until afternoon, starting again in the evening.",1016.66,NA,2016-05-18
"23",0.28,8.21,187,4.3,0.78,71.63,88.63,73.54,0,0.43,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1014.54,NA,2016-05-17
"24",0.32,8.95,200,2.61,0.83,71.11,85.77,70.04,0.0078,0.4,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1014.24,NA,2016-05-16
"25",0.28,9.77,147,4.9,0.79,69.78,81.75,72.54,3e-04,0.37,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1015.97,NA,2016-05-15
"26",0.13,10,103,2.79,0.45,53.17,89.56,63.79,0,0.34,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.41,NA,2016-05-14
"27",0.15,9.99,315,3.76,0.56,55.97,86.43,61.95,0,0.31,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1016.96,NA,2016-05-13
"28",0.15,9.82,283,5.81,0.54,54.73,88.03,63.65,0,0.28,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1015.04,NA,2016-05-12
"29",0.19,9.98,273,4.9,0.64,64.19,87.05,70.15,0,0.25,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1016.23,NA,2016-05-11
"30",0.15,9.76,233,3.97,0.64,62.21,89.63,63.88,0,0.21,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.85,NA,2016-05-10
"31",0.19,9.8,185,3.27,0.65,61.49,87.26,62.19,0,0.18,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1020.15,NA,2016-05-09
"32",0.12,9.99,161,4.21,0.69,63.04,82.59,67.55,0,0.15,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1019.59,NA,2016-05-08
"33",0.12,9.79,184,4.27,0.64,56.91,83.86,56.86,0,0.11,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.7,NA,2016-05-07
"34",0.07,9.99,218,4.16,0.55,52.35,86.99,55.24,0,0.07,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1017,NA,2016-05-06
"35",0.01,10,317,5.42,0.51,45.6,81.26,51.17,0,0.04,"NA","NA","clear-day","Clear throughout the day.",1015.53,NA,2016-05-05
"36",0.15,10,326,7.72,0.5,43.24,75.81,50.86,0,0.01,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1012.48,NA,2016-05-04
"37",0.12,10,307,9.4,0.49,43.89,77.14,56.17,0,0.96,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon and dry throughout the day.",1008.72,NA,2016-05-03
"38",0.21,9.99,318,7.19,0.62,57.42,79.08,64.47,0,0.92,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1008.32,NA,2016-05-02
"39",0.23,8.21,224,6.23,0.78,68.87,86.55,69.41,0.0053,0.88,"NA","NA","rain","Rain in the morning.",1012.01,NA,2016-05-01
"40",0.18,9.83,173,4.79,0.74,67.63,85.82,68.45,0,0.85,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1015.28,NA,2016-04-30
"41",0.2,9.65,162,5.87,0.72,67.22,85.17,70.96,0,0.81,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1015.78,NA,2016-04-29
"42",0.13,8.59,162,4.35,0.73,67.06,88.33,68.22,0,0.77,"NA","NA","fog","Foggy in the morning.",1013.65,NA,2016-04-28
"43",0.3,9.05,208,3.45,0.72,67.95,88.24,70.42,0,0.74,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1014.44,NA,2016-04-27
"44",0.16,8.8,193,4.28,0.81,69.59,82.68,71.03,0,0.7,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1013.94,NA,2016-04-26
"45",0.23,6.95,173,6.42,0.75,65.55,84.3,66.87,0,0.67,"NA","NA","fog","Foggy in the morning.",1012.24,NA,2016-04-25
"46",0.2,9.82,151,5.99,0.74,64.33,83.7,65.7,0,0.64,"NA","NA","fog","Foggy overnight.",1013.9,NA,2016-04-24
"47",0.19,9.97,146,6.51,0.71,62.7,81.59,65.3,0,0.61,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1015.72,NA,2016-04-23
"48",0.14,9.56,143,0.98,0.61,54.99,85.3,56.13,0,0.58,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1015.11,NA,2016-04-22
"49",0.2,8.8,287,5.05,0.71,59.47,82.57,63.24,0,0.55,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1013.51,NA,2016-04-21
"50",0.16,9.6,175,4.4,0.85,61.7,76.84,60.9,0.016,0.52,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1015.44,NA,2016-04-20
"51",0.12,10,148,7.11,0.64,57.96,79.52,65.96,0,0.48,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1017.83,NA,2016-04-19
"52",0.07,9.89,159,1.14,0.62,53.87,81.75,56.87,0,0.45,"NA","NA","clear-day","Clear throughout the day.",1018.5,NA,2016-04-18
"53",0.16,10,111,2.1,0.57,47.51,81.66,49.06,0,0.42,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1021.43,NA,2016-04-17
"54",0.1,10,81,3.34,0.48,41.23,80.45,45.68,0,0.39,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1024.35,NA,2016-04-16
"55",0.12,10,73,9.31,0.56,51,79.16,59.75,0,0.36,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1023.98,NA,2016-04-15
"56",0.44,9.95,64,9.26,0.73,58.32,75.7,62.34,0.0018,0.33,"NA","NA","rain","Light rain in the afternoon.",1019.69,NA,2016-04-14
"57",NA,9.8,57,9.14,0.79,56.61,70.34,57.83,0,0.3,"NA","NA","clear-day","Clear throughout the day.",1016.65,NA,2016-04-13
"58",NA,9.27,71,6.14,0.89,60.43,66.41,59.41,0.0018,0.26,"NA","NA","rain","Light rain in the afternoon.",1017.19,NA,2016-04-12
"59",0.21,8.37,92,3.2,0.81,62.35,77.67,60.86,0.0259,0.23,"NA","NA","rain","Heavy rain starting in the evening.",1018.14,NA,2016-04-11
"60",0.23,9.74,182,1.87,0.74,61.79,79.93,62.6,0.0019,0.2,"NA","NA","rain","Light rain in the afternoon and evening.",1018.59,NA,2016-04-10
"61",0.14,9.98,159,6.15,0.63,52.17,78.49,51.66,0,0.16,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1021.8,NA,2016-04-09
"62",0.09,9.97,84,3.42,0.41,33.85,76.56,49.44,0,0.12,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1023.56,NA,2016-04-08
"63",0.11,10,314,6.03,0.4,35.49,75.69,45.52,0,0.09,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1019.65,NA,2016-04-07
"64",0.12,9.97,295,7.41,0.52,44.99,77.81,55.85,0,0.05,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1013.81,NA,2016-04-06
"65",0.17,9.97,256,7.65,0.63,55.02,80.18,62.25,0,0.01,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1012.78,NA,2016-04-05
"66",0.13,9.98,138,6.6,0.65,52.46,75.11,55.16,0.0011,0.97,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1020.07,NA,2016-04-04
