"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.32,10,284,2.37,0.53,52.97,83.27,59.93,0,0.2,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1018.18,331.45,2016-06-09
"2",0.1,9.8,255,4.74,0.53,49.14,83.98,54.6,0,0.16,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1015.29,339.4,2016-06-08
"3",0.05,9.89,287,4.34,0.57,50.76,78.3,58.2,3e-04,0.13,"NA","NA","clear-day","Clear throughout the day.",1009.55,339.67,2016-06-07
"4",0.31,9.96,266,2.16,0.72,65.97,86.8,69.23,0.0017,0.1,"NA","NA","rain","Light rain in the evening.",1003.07,324.22,2016-06-06
"5",0.58,10,220,5.46,0.75,67.69,84.91,70.14,0.0022,0.06,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1008,308.95,2016-06-05
"6",0.9,7.17,198,6.42,0.83,71.41,85.57,70.3,0.0265,0.03,"NA","NA","rain","Rain in the morning and afternoon.",1008.78,297.7,2016-06-04
"7",0.76,7.34,95,3.19,0.87,70.56,82.73,69.94,0.0014,0.98,"NA","NA","rain","Rain overnight.",1014.99,303.66,2016-06-03
"8",0.62,6.99,115,1.92,0.83,70.44,86.36,69.57,0.0167,0.95,"NA","NA","rain","Rain starting in the afternoon.",1016.22,311.05,2016-06-02
"9",0.37,7.84,76,1.69,0.81,67.91,84.55,65.68,0.005,0.91,"NA","NA","rain","Light rain in the evening and overnight.",1017.58,324.63,2016-06-01
"10",0.24,8.43,76,2.8,0.81,66.88,82.34,64.46,0.005,0.87,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1016.86,334.3,2016-05-31
"11",0.43,8.36,62,1.9,0.83,67.79,82.82,65.67,8e-04,0.83,"NA","NA","partly-cloudy-day","Mostly cloudy in the morning.",1014.77,328.54,2016-05-30
"12",0.75,8.06,83,1.5,0.93,68.46,75.28,67.44,0.0143,0.8,"NA","NA","rain","Rain until evening.",1015.89,312.24,2016-05-29
"13",0.56,8.81,77,2.07,0.86,66.66,81.33,62.47,0.0233,0.76,"NA","NA","rain","Rain starting in the afternoon.",1019.56,310.26,2016-05-28
"14",0.18,10,157,4.1,0.64,62.15,85.91,64.76,0,0.72,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1020.99,325.85,2016-05-27
"15",0.09,9.57,174,5.7,0.67,65.77,88.02,68.57,0.0037,0.69,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1018.78,327.84,2016-05-26
"16",0.11,9.29,200,5.25,0.67,61.43,87.84,59.92,1e-04,0.65,"NA","NA","clear-day","Clear throughout the day.",1019.37,NA,2016-05-25
"17",0.11,9.56,244,4.71,0.59,55.24,86.04,58.3,0,0.62,"NA","NA","clear-day","Clear throughout the day.",1020.8,NA,2016-05-24
"18",0.18,9.11,264,3.86,0.67,53.86,82.04,52.13,2e-04,0.59,"NA","NA","clear-day","Clear throughout the day.",1016.7,NA,2016-05-23
"19",0.52,7.6,345,6.03,0.84,54.1,68.51,53.37,0.0242,0.56,"NA","NA","rain","Rain until afternoon.",1013.8,NA,2016-05-22
"20",NA,8.43,341,6.7,0.9,53.07,59.64,53.48,0.0036,0.53,"NA","NA","rain","Light rain starting in the evening.",1011.64,NA,2016-05-21
"21",0.72,6.77,12,4.71,0.89,55.41,61.48,56.48,0.0336,0.48,"NA","NA","rain","Heavy rain in the morning and afternoon.",1014.83,NA,2016-05-20
"22",0.2,8.6,112,4.86,0.66,48.54,74.06,47.52,0,0.46,"NA","NA","partly-cloudy-night","Mostly cloudy overnight.",1023.46,NA,2016-05-19
"23",0.41,9.95,12,2.43,0.71,50.58,67.28,53.93,1e-04,0.43,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1020.39,NA,2016-05-18
"24",0.57,8.26,33,5.14,0.83,52.6,64.58,53.3,0,0.4,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1019.27,NA,2016-05-17
"25",0.55,7.39,16,3.01,0.89,52.5,58.72,54.41,0.0346,0.37,"NA","NA","rain","Heavy rain until afternoon.",1022.68,NA,2016-05-16
"26",0.1,10,271,3.04,0.56,37.02,67.86,39.12,0,0.34,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1023.08,NA,2016-05-15
"27",0.18,10,294,8.71,0.49,34.93,63.75,45.43,0,0.31,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1015.29,NA,2016-05-14
"28",0.17,7.57,256,5.1,0.73,53.14,79.3,52.95,0.0031,0.28,"NA","NA","rain","Light rain in the evening.",1009.53,NA,2016-05-13
"29",0.37,6.92,194,4.25,0.86,62.74,75.13,60.47,0.002,0.25,"NA","NA","rain","Light rain in the afternoon.",1012.4,NA,2016-05-12
"30",0.63,6.2,56,2.68,0.9,59.77,68.56,59.06,7e-04,0.21,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1019.55,NA,2016-05-11
"31",0.52,4.52,45,3.4,0.93,58.88,65.42,57.52,0.0018,0.18,"NA","NA","fog","Foggy in the morning.",1021.3,NA,2016-05-10
"32",0.37,9.24,59,3.93,0.85,56.84,66.96,57.28,0.0015,0.15,"NA","NA","rain","Light rain in the morning.",1022.16,NA,2016-05-09
"33",0.14,9.93,120,1.84,0.68,50.97,74.28,50.47,0,0.11,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1018.54,NA,2016-05-08
"34",0.17,9.94,313,2.27,0.67,51.1,74.9,52.53,0,0.07,"NA","NA","partly-cloudy-day","Mostly cloudy in the afternoon.",1009.23,NA,2016-05-07
"35",0.28,9.93,272,2.05,0.75,48.91,66.66,49.3,3e-04,0.04,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1008.35,NA,2016-05-06
"36",0.54,6.07,312,3.67,0.92,50.08,56.7,50.77,0.0392,0.01,"NA","NA","rain","Rain until evening.",1005.79,NA,2016-05-05
"37",NA,6.85,33,7.3,0.93,50.7,55.65,50.77,0.0093,0.96,"NA","NA","rain","Rain in the morning and evening.",1003.77,NA,2016-05-04
"38",0.44,8.24,44,4.45,0.89,56.32,66.84,55.99,0.0114,0.92,"NA","NA","rain","Rain starting in the afternoon.",1005.4,NA,2016-05-03
"39",0.4,8.38,197,2.58,0.87,61.52,75.3,59.1,0.0322,0.88,"NA","NA","rain","Rain in the morning and evening.",1008.81,NA,2016-05-02
"40",0.34,7.29,201,3.83,0.83,63.82,84.58,61.97,0.0178,0.85,"NA","NA","rain","Rain starting in the evening.",1013.5,NA,2016-05-01
"41",NA,7.35,129,2.54,0.92,55.55,65.74,52.3,0.0221,0.81,"NA","NA","rain","Rain until afternoon, starting again overnight.",1018.9,NA,2016-04-30
"42",NA,9.47,76,4.89,0.82,50.07,59.51,52.88,2e-04,0.77,"NA","NA","partly-cloudy-night","Mostly cloudy in the evening.",1021.7,NA,2016-04-29
"43",NA,7.21,33,4.44,0.88,50.81,60.72,50.48,0.0014,0.74,"NA","NA","clear-day","Clear throughout the day.",1016.69,NA,2016-04-28
"44",NA,4.49,69,4.72,0.94,54.67,59.01,53.52,0.0167,0.7,"NA","NA","rain","Rain in the morning and evening.",1014.1,NA,2016-04-27
"45",0.27,7.83,25,3.12,0.83,58.26,67.9,56.74,0.0047,0.67,"NA","NA","rain","Light rain starting in the evening.",1010.85,NA,2016-04-26
"46",0.19,9.95,229,9.75,0.55,55.58,86.17,65.06,0.0022,0.64,"NA","NA","rain","Light rain starting in the evening.",1009.48,NA,2016-04-25
"47",0.13,10,197,7.96,0.6,50.76,82.09,49.2,0,0.61,"NA","NA","clear-day","Clear throughout the day.",1015.42,NA,2016-04-24
"48",0.07,10,10,3.37,0.46,34.69,69.86,45.07,0,0.58,"NA","NA","clear-day","Clear throughout the day.",1018.65,NA,2016-04-23
"49",0.3,8.84,350,4.86,0.75,54.66,70.83,54.95,0.0016,0.55,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1011.57,NA,2016-04-22
"50",0.27,8.88,203,7.85,0.81,59.6,73.06,62.18,0.0144,0.52,"NA","NA","rain","Rain in the afternoon and evening.",1014.98,NA,2016-04-21
"51",0.14,9.91,194,7.7,0.57,45.94,78.51,43.43,0,0.48,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1020.86,NA,2016-04-20
"52",0.14,9.99,64,5.65,0.33,30.8,70.75,50.9,0,0.45,"NA","NA","clear-day","Clear throughout the day.",1024.19,NA,2016-04-19
"53",0.12,9.86,344,6.23,0.44,41.72,85.49,49.17,0,0.42,"NA","NA","clear-day","Clear throughout the day.",1018.09,NA,2016-04-18
"54",0.08,9.62,287,2.38,0.46,38.66,86.04,42.28,0,0.39,"NA","NA","clear-day","Clear throughout the day.",1023.55,NA,2016-04-17
"55",0.04,9.54,29,4.24,0.5,31.69,72.51,35.98,0,0.36,"NA","NA","clear-day","Clear throughout the day.",1029.73,NA,2016-04-16
"56",0.06,9.53,42,4.04,0.52,32.08,70.91,35.36,0,0.33,"NA","NA","clear-day","Clear throughout the day.",1029.67,NA,2016-04-15
"57",0.06,9.87,70,5.35,0.57,32.7,63.44,34.34,0,0.3,"NA","NA","clear-day","Clear throughout the day.",1029.2,NA,2016-04-14
"58",0.01,9.68,67,4.91,0.58,31.96,62.55,33.81,0,0.26,"NA","NA","clear-day","Clear throughout the day.",1026.76,NA,2016-04-13
"59",0.12,10,45,6.19,0.48,29.44,59.15,40.49,0,0.23,"NA","NA","clear-day","Clear throughout the day.",1027.19,NA,2016-04-12
"60",0.33,9.4,180,3.89,0.73,49.57,64.13,49.99,0.0057,0.2,"NA","NA","rain","Light rain until afternoon.",1019.01,NA,2016-04-11
"61",0.21,10,191,13.1,0.46,38.91,74.11,47.18,0,0.16,"NA","NA","wind","Partly cloudy in the morning and breezy in the evening.",1022.46,NA,2016-04-10
"62",0.06,10,241,1.11,0.41,17.45,54.62,26.65,0,0.12,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1027.68,NA,2016-04-09
"63",0.3,10,279,11.63,0.45,23.31,49.64,38,2e-04,0.09,"NA","NA","wind","Partly cloudy until evening and breezy until afternoon.",1011.27,NA,2016-04-08
"64",0.19,9.88,273,7.91,0.46,28.26,57.63,38.86,0,0.05,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1007.87,NA,2016-04-07
"65",0.28,9.64,212,10.71,0.65,44.92,65.95,50.25,0.0094,0.01,"NA","NA","rain","Rain in the morning and evening.",1004.05,NA,2016-04-06
"66",0.05,9.97,182,9.08,0.51,23.97,59.18,26.46,0,0.97,"NA","NA","clear-day","Clear throughout the day.",1024.93,NA,2016-04-05
"67",0.2,9.78,7,11.61,0.54,22.99,55.34,30.58,0.0065,0.93,"NA","NA","wind","Breezy in the morning.",1024.69,NA,2016-04-04
"68",0.12,9.92,215,10.72,0.42,34.93,77.11,49.53,0.0014,0.9,"NA","NA","rain","Breezy until afternoon and rain starting in the evening.",1012.91,NA,2016-04-03
"69",0.07,10,280,11.6,0.32,19.64,59.04,38.37,1e-04,0.86,"NA","NA","clear-day","Clear throughout the day.",1013.37,NA,2016-04-02
"70",0.36,9.65,224,4.29,0.68,48.52,71.18,51.75,0.0071,0.82,"NA","NA","rain","Light rain in the morning and breezy overnight.",1001.46,NA,2016-04-01
"71",0.3,9.6,210,11.53,0.75,61.82,78.82,65.19,0.0112,0.79,"NA","NA","rain","Rain in the morning.",1006.42,NA,2016-03-31
"72",0.17,9.99,188,13.66,0.59,49.31,76.38,53.54,2e-04,0.75,"NA","NA","rain","Breezy in the afternoon and rain overnight.",1016.34,NA,2016-03-30
"73",0.08,9.88,146,5.08,0.49,30.13,66.33,32.72,0,0.72,"NA","NA","clear-day","Clear throughout the day.",1026.16,NA,2016-03-29
"74",0.05,10,326,7.23,0.43,30.16,64.57,43.71,0,0.69,"NA","NA","clear-day","Clear throughout the day.",1019.51,NA,2016-03-28
"75",0.14,7.22,281,8.82,0.63,43.75,73.64,52.34,0.0046,0.66,"NA","NA","rain","Light rain in the morning.",1010.1,NA,2016-03-27
"76",NA,5.65,68,3.95,0.88,48.24,54.7,49.24,0.002,0.63,"NA","NA","rain","Light rain in the morning and overnight.",1024.15,NA,2016-03-26
"77",0.41,9.94,50,4.26,0.57,38,59.4,45.74,8e-04,0.6,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1023.93,NA,2016-03-25
"78",0.29,9.95,215,6.53,0.62,54.58,77.11,60.09,0,0.57,"NA","NA","rain","Light rain overnight.",1009.71,NA,2016-03-24
"79",0.11,9.98,196,12.51,0.45,43.02,77.3,50.75,0,0.54,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1015.18,NA,2016-03-23
"80",0.08,10,210,10.83,0.35,31.99,76.17,48.44,0,0.51,"NA","NA","clear-day","Clear throughout the day.",1017.81,NA,2016-03-22
"81",0.08,10,204,8.71,0.48,26.04,64.35,29.7,0,0.48,"NA","NA","clear-day","Clear throughout the day.",1022.33,NA,2016-03-21
"82",0.21,10,301,8.46,0.57,26.6,54.22,36.3,3e-04,0.45,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1016.09,NA,2016-03-20
"83",NA,8.96,12,7.85,0.84,35.1,43.85,37.3,0.0017,0.42,"NA","NA","rain","Drizzle in the evening.",1016.32,NA,2016-03-19
"84",0.32,9.78,40,9.02,0.63,32.66,50.45,38.86,0.002,0.38,"NA","NA","rain","Light rain in the evening.",1017.19,NA,2016-03-18
"85",0.11,10,302,4.38,0.46,31.04,68.88,39.19,0,0.35,"NA","NA","clear-day","Clear throughout the day.",1014.06,NA,2016-03-17
"86",0.09,9.85,280,3.54,0.5,37.29,73.88,44.69,0,0.32,"NA","NA","clear-day","Clear throughout the day.",1011.76,NA,2016-03-16
"87",0.11,9.13,190,2.07,0.67,51.03,83.64,48.43,0,0.28,"NA","NA","clear-day","Clear throughout the day.",1008.62,NA,2016-03-15
"88",0.32,8.99,333,2.64,0.83,49.57,68.89,48.45,0.0063,0.25,"NA","NA","rain","Light rain in the morning.",1010.55,NA,2016-03-14
"89",NA,4.96,5,5.4,0.9,50.24,57.05,49.94,0.0026,0.21,"NA","NA","rain","Light rain overnight.",1012.41,NA,2016-03-13
"90",0.2,8.52,71,3.66,0.82,53.91,74.15,50.82,0.0044,0.17,"NA","NA","rain","Light rain in the evening and overnight.",1014.97,NA,2016-03-12
"91",0.29,9.85,122,2.86,0.78,48.75,62.25,49.45,0,0.14,"NA","NA","clear-day","Clear throughout the day.",1023.64,NA,2016-03-11
"92",0.15,9.98,246,1.9,0.57,50.57,73.44,52.81,0,0.1,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1020.84,NA,2016-03-10
"93",0.08,9.99,214,12.77,0.58,53.39,77.98,61.37,0,0.06,"NA","NA","clear-day","Clear throughout the day.",1019.32,NA,2016-03-09
"94",0.09,10,211,8,0.51,44.86,78.6,49.69,0,0.02,"NA","NA","clear-day","Clear throughout the day.",1021.3,NA,2016-03-08
"95",0.13,10,215,4.93,0.41,35.62,78.15,47.19,0,0.99,"NA","NA","clear-day","Clear throughout the day.",1021.83,NA,2016-03-07
"96",0.05,8.81,202,8.05,0.62,34.58,64.81,30.9,0,0.95,"NA","NA","clear-day","Clear throughout the day.",1024.95,NA,2016-03-06
"97",0.26,9.55,81,1.84,0.74,30.87,49.81,31.05,0,0.91,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1025.05,NA,2016-03-05
"98",0.23,9.53,144,2.26,0.7,26.61,42.57,27.3,0,0.88,"NA","NA","partly-cloudy-night","Partly cloudy in the evening.",1022.9,NA,2016-03-04
"99",0.5,7.74,3,8.03,0.79,29.74,42.72,31.48,0.0057,0.84,"NA","NA","snow","Light snow (under 1 in.) in the morning.",1018.07,NA,2016-03-03
"100",0.12,9.86,81,3.92,0.53,18.06,42.97,23.14,2e-04,0.81,"NA","NA","snow","Snow (under 1 in.) overnight.",1023.99,NA,2016-03-02
"101",0.14,9.89,299,9.09,0.5,28.61,63.35,32.34,0.0027,0.78,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1012.18,NA,2016-03-01
"102",0.12,10,156,10.06,0.53,33.95,70.8,32.22,0,0.74,"NA","NA","clear-day","Clear throughout the day.",1014.7,NA,2016-02-29
"103",0.08,10,240,10.05,0.37,29.79,69.04,42.18,0,0.71,"NA","NA","wind","Breezy until afternoon.",1011.7,NA,2016-02-28
"104",0.02,10,208,8.43,0.49,27.49,66.64,28.09,0,0.68,"NA","NA","clear-day","Clear throughout the day.",1017.38,NA,2016-02-27
"105",0.1,10,240,3.63,0.58,19.03,46.75,21.06,0,0.65,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1022.31,NA,2016-02-26
"106",0.19,10,302,8.7,0.45,18.69,45.75,29.4,0,0.62,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1016.91,NA,2016-02-25
"107",0.31,10,248,17.3,0.46,27.48,57.55,42.82,1e-04,0.59,"NA","NA","wind","Partly cloudy in the morning and breezy starting in the afternoon, continuing until evening.",1001.7,NA,2016-02-24
"108",0.51,5.53,169,7.15,0.91,52.35,68.25,41.94,0.0199,0.56,"NA","NA","rain","Rain in the morning and afternoon.",1003.95,NA,2016-02-23
"109",NA,5.77,14,6.22,0.92,40.39,44.37,40.08,0.0225,0.53,"NA","NA","rain","Rain until afternoon, starting again overnight.",1019.16,NA,2016-02-22
"110",0.62,8.69,39,5.81,0.8,42.22,54.75,44.51,0,0.49,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1019.19,NA,2016-02-21
"111",0.15,6.92,228,3.37,0.82,49.14,66.01,44.46,0.011,0.47,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1013.99,NA,2016-02-20
"112",0.12,10,214,10.39,0.47,34.77,65.75,43.02,0,0.44,"NA","NA","clear-day","Clear throughout the day.",1018.75,NA,2016-02-19
"113",0.08,10,170,5,0.48,15.77,47.96,21.41,0,0.4,"NA","NA","clear-day","Clear throughout the day.",1031.88,NA,2016-02-18
"114",0.13,10,348,6.62,0.56,19.56,44.39,26.14,0,0.37,"NA","NA","clear-day","Clear throughout the day.",1031.48,NA,2016-02-17
"115",0.3,9.92,17,1.81,0.66,31.22,53.94,31.4,0,0.34,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1018.39,NA,2016-02-16
"116",0.29,7.38,234,3.96,0.81,40.54,56,31.59,0.016,0.3,"NA","NA","rain","Rain until afternoon.",1007.38,NA,2016-02-15
"117",NA,4.46,79,1.81,0.9,23.39,31.44,20.95,0.0114,0.26,"NA","NA","snow","Snow (2–4 in.) throughout the day.",1027.35,NA,2016-02-14
"118",0.1,9.84,14,1.51,0.42,-1.29,26.3,8.82,0,0.23,"NA","NA","snow","Snow (under 1 in.) overnight.",1034.09,NA,2016-02-13
"119",0.2,10,315,11.48,0.39,1.05,29.59,16.41,0,0.19,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1024.45,NA,2016-02-12
"120",0.21,9.99,172,3.48,0.57,10.15,28.95,16.38,0,0.15,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1022.95,NA,2016-02-11
"121",0.05,10,286,9.07,0.34,1.13,33.92,20.49,0,0.11,"NA","NA","clear-day","Clear throughout the day.",1021.38,NA,2016-02-10
"122",0.26,9.43,266,10.3,0.51,15.28,40.71,25.75,5e-04,0.07,"NA","NA","snow","Light snow in the morning.",1010.41,NA,2016-02-09
